Node Number = 390
Cell Number = 721
46 28500.000000 83138.438800 580.000000
47 4500.000000 88334.591200 580.000000
48 7500.000000 88334.591200 580.000000
49 3000.000000 85736.515000 580.000000
50 1500.000000 83138.438800 580.000000
51 0.000000 80540.362600 580.000000
52 10500.000000 88334.591200 580.000000
53 13500.000000 88334.591200 580.000000
54 16500.000000 88334.591200 580.000000
55 19500.000000 88334.591200 580.000000
56 22500.000000 88334.591200 580.000000
57 24000.000000 85736.515000 580.000000
58 25500.000000 83138.438800 580.000000
59 27000.000000 80540.362600 580.000000
60 28500.000000 77942.286300 580.000000
61 6000.000000 85736.515000 580.000000
62 9000.000000 85736.515000 580.000000
63 4500.000000 83138.438800 580.000000
64 3000.000000 80540.362600 580.000000
65 1500.000000 77942.286300 580.000000
66 0.000000 75344.210100 580.000000
67 12000.000000 85736.515000 580.000000
68 15000.000000 85736.515000 580.000000
69 18000.000000 85736.515000 580.000000
70 21000.000000 85736.515000 580.000000
71 22500.000000 83138.438800 580.000000
72 24000.000000 80540.362600 580.000000
73 25500.000000 77942.286300 580.000000
74 27000.000000 75344.210100 580.000000
75 28500.000000 72746.133900 580.000000
76 7500.000000 83138.438800 580.000000
77 10500.000000 83138.438800 580.000000
78 6000.000000 80540.362600 580.000000
79 4500.000000 77942.286300 580.000000
80 3000.000000 75344.210100 580.000000
81 1500.000000 72746.133900 580.000000
82 0.000000 70148.057700 580.000000
83 13500.000000 83138.438800 580.000000
84 16500.000000 83138.438800 580.000000
85 19500.000000 83138.438800 580.000000
86 21000.000000 80540.362600 580.000000
87 22500.000000 77942.286300 580.000000
88 24000.000000 75344.210100 580.000000
89 25500.000000 72746.133900 580.000000
90 27000.000000 70148.057700 580.000000
91 28500.000000 67549.981500 580.000000
92 9000.000000 80540.362600 580.000000
93 12000.000000 80540.362600 580.000000
94 7500.000000 77942.286300 580.000000
95 6000.000000 75344.210100 580.000000
96 4500.000000 72746.133900 580.000000
97 3000.000000 70148.057700 580.000000
98 1500.000000 67549.981500 580.000000
99 0.000000 64951.905300 580.000000
100 15000.000000 80540.362600 580.000000
101 18000.000000 80540.362600 580.000000
102 19500.000000 77942.286300 580.000000
103 21000.000000 75344.210100 580.000000
104 22500.000000 72746.133900 580.000000
105 24000.000000 70148.057700 580.000000
106 25500.000000 67549.981500 580.000000
107 27000.000000 64951.905300 580.000000
108 28500.000000 62353.829100 580.000000
109 10500.000000 77942.286300 580.000000
110 13500.000000 77942.286300 580.000000
111 9000.000000 75344.210100 580.000000
112 7500.000000 72746.133900 580.000000
113 6000.000000 70148.057700 580.000000
114 4500.000000 67549.981500 580.000000
115 3000.000000 64951.905300 580.000000
116 1500.000000 62353.829100 580.000000
117 0.000000 59755.752900 580.000000
118 16500.000000 77942.286300 580.000000
119 18000.000000 75344.210100 580.000000
120 19500.000000 72746.133900 580.000000
121 21000.000000 70148.057700 580.000000
122 22500.000000 67549.981500 580.000000
123 24000.000000 64951.905300 580.000000
124 25500.000000 62353.829100 580.000000
125 27000.000000 59755.752900 580.000000
126 28500.000000 57157.676600 580.000000
127 12000.000000 75344.210100 580.000000
128 15000.000000 75344.210100 580.000000
129 10500.000000 72746.133900 580.000000
130 9000.000000 70148.057700 580.000000
131 7500.000000 67549.981500 580.000000
132 6000.000000 64951.905300 580.000000
133 4500.000000 62353.829100 580.000000
134 3000.000000 59755.752900 580.000000
135 1500.000000 57157.676600 580.000000
136 0.000000 54559.600400 580.000000
137 16500.000000 72746.133900 580.000000
138 18000.000000 70148.057700 580.000000
139 19500.000000 67549.981500 580.000000
